A_A,B_A,C_A,D_A,E_A,F_A,G_A,H_A,I_A,A_B,B_B,C_B,D_B,E_B,F_B,G_B,H_B,I_B,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,I_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D,I_D
88244,21268,20099,55119,37159,44700,80987,67436,38674,20636,3190,92704,25614,73104,13494,13642,94247,49436,83692,67575,32712,29712,66569,88974,54110,5276,20617,15621,83761,15688,88228,96263,10495,98495,77941,89707
29281,16364,70158,47029,97776,50896,2676,14363,9987,85391,22700,29542,46824,80147,30875,1264,5137,91925,56463,25164,50670,84808,66599,96372,91700,28086,18756,39794,19052,61938,6146,87182,12611,14340,62867,34314
83836,96300,43335,61772,69906,17564,83620,60662,30536,46839,8429,60635,68985,82409,94116,10310,89777,70202,1068,67088,70515,76173,91916,63340,59648,42753,46485,9385,12100,88679,16195,39799,8471,14960,50170,20958
64007,28701,12280,77455,90233,40229,93137,65707,32994,26133,96475,42301,47134,77788,93723,80735,8359,42577,36031,70003,9780,39159,54955,61085,94323,4747,77119,76623,14798,83693,57167,2123,74677,35406,12904,74335
27241,53539,56057,41339,5765,85627,86971,55723,70557,69956,72740,34859,19659,81023,83355,52493,32265,38094,99329,50310,33999,23532,83700,41449,20146,69812,18131,12666,96022,98114,19254,10433,86070,61694,66338,85687
33101,33403,53356,18176,56304,72981,98077,39136,94373,13983,62453,96530,57563,70667,79793,18782,54776,72755,95062,20528,19521,1975,21491,74410,64233,5884,27896,45303,20565,72249,84791,3672,88237,34203,38589,58912
55290,50273,85809,48118,59557,67665,97497,93789,81658,73365,8228,60053,36765,24862,63852,93612,10326,78618,19420,37302,86195,47094,31984,80023,93146,87809,46917,79734,46089,25769,7262,17959,50373,79852,55513,26424
54972,84562,39826,72881,21227,45181,71539,89144,54692,34443,75589,73394,31477,99401,53513,77689,13908,34141,62320,83235,20548,99137,67950,69907,56239,90529,75601,10480,5714,1100,72418,25197,5819,80224,41097,53162
88408,43201,32890,72653,32687,68340,68784,44925,15376,78868,14069,8786,92463,61919,19474,73668,58015,7055,55970,76179,31600,96165,98246,22498,50558,21782,86657,66349,28676,69201,69298,59041,71363,89136,50988,75579
34890,99295,45114,47250,1648,46977,46213,59843,94745,21257,14445,49037,35790,6370,98095,82223,63962,16826,30773,32346,67134,86787,65740,89247,61382,47093,91276,14462,7287,71178,51769,83636,70115,27352,66716,221
2258,26002,84864,71536,7837,68045,53258,59281,77519,58463,27175,41658,20265,21307,57397,26084,42817,13102,33772,26109,93114,41107,10368,13490,63538,54474,13289,49830,19323,14555,72145,6617,46086,27479,40763,73818
15708,98150,26946,50195,76399,76334,6333,90430,64039,74407,18571,16790,39736,49815,65514,52144,89020,73245,6889,1673,91120,10434,52194,15816,50995,59707,85425,53343,91948,33232,36728,71538,23781,41252,17492,35835
38740,10023,57630,72572,78225,4932,88325,2061,8577,27510,1311,4400,43601,89627,42365,87305,23604,59722,43636,38992,55668,68903,14626,23765,70292,13463,89144,94946,49216,19348,91665,46196,60408,8679,74191,96490
52487,6412,42214,58483,68188,11231,88112,84399,4737,94276,38975,7470,78025,24178,6502,12833,37264,37471,39758,3188,6940,3138,85311,74083,41129,18186,11730,58489,72910,92624,16509,79516,95799,79105,32570,20428
15120,78571,4143,39024,7018,84695,36412,98102,39154,53188,48702,63014,17138,52179,76367,99319,80272,77471,84924,98554,38630,52053,79143,20088,41219,51064,34084,7426,30640,10450,42788,58153,80525,9611,72547,78046
26186,98236,29204,35633,69310,30763,12513,17091,24109,60828,89847,44711,10930,85416,36578,78069,46189,40097,52824,70338,56144,15445,77723,7248,28958,4692,86488,11329,15721,23701,85761,16527,48957,99952,75053,84984
10518,10226,58710,18382,84668,51446,30173,54580,32426,50225,53401,90916,45941,55619,73630,31215,63411,94637,11696,86456,55030,19846,98575,64189,93197,51639,41417,40501,22456,91338,77974,99795,71498,53997,22838,71809
65904,75523,99441,73035,40510,23168,12606,85932,84851,87751,58748,80434,52386,45751,28995,28920,28537,51070,72595,31068,97195,19100,15453,55616,54670,70353,91855,54377,91318,40404,2383,31593,93800,10418,18757,94643
50358,62422,65690,88500,10083,28751,35837,9545,12487,7117,88050,56080,83668,38871,1827,69506,7459,36571,40923,1872,71326,36823,6547,70775,33913,43992,43378,56504,7069,99497,97663,726,79351,94207,15777,3047
7294,59299,78937,30881,23459,98511,71618,25512,87558,28594,62254,95100,43545,32066,8411,32402,51995,72292,75034,10321,52946,29141,69374,90041,25618,84907,3397,30142,31033,6821,45595,26172,91472,21682,54553,3689
92062,10214,8235,42918,32362,41443,16571,99364,72818,3446,86840,96385,8187,34427,62856,31443,22819,22761,99437,95287,73425,34706,90928,39628,53403,28744,76235,14685,7390,14608,64266,62079,59863,86460,51701,52142
29356,94010,18752,38340,7230,26243,43528,47413,58610,44423,52229,45918,46358,84435,29732,18182,13033,48943,27098,8726,94349,63183,10513,46422,97886,89515,75788,25355,56010,32080,81426,59854,26542,2769,35858,76957
42788,80843,46126,33857,30717,95220,33600,13171,38969,38180,68132,11777,94693,56792,74626,60381,56325,72831,40960,41289,44291,85433,37371,32536,19382,3923,5920,20161,55641,15312,76413,80489,95633,74096,91326,21422
28545,98791,66503,13229,24502,14707,5609,45408,78698,51151,68276,51563,29234,10545,88608,80829,69103,18910,34280,24921,28080,84377,55090,74426,72989,5482,61060,19275,98287,61830,85326,79530,77957,5427,41307,36941
58248,1805,30263,45542,79430,3352,9491,51302,59012,14385,17496,54717,6377,54824,82331,68302,18263,92062,70584,17433,19036,76764,54759,40046,28474,45231,85303,52359,30256,79543,28433,72020,91655,52922,50068,81494
65600,77881,42796,67837,35492,80982,22279,51798,7712,17678,2674,32469,39364,28654,59551,33453,99799,43850,1704,92128,84274,98666,49071,72859,71969,37298,23750,72809,98484,45002,32490,30888,29894,39272,8367,21058
48097,38664,55646,27998,75251,7307,1410,91839,3232,12393,53290,81056,46295,775,94021,7464,24434,66199,1536,20540,95409,23884,80009,40139,30888,45751,99439,48921,37258,73368,68032,50315,19401,70477,96356,90546
49324,61098,73246,38379,96560,21553,99892,84819,12934,55300,79734,26695,72834,34089,13755,31918,40229,314,352,20467,22414,80916,63998,33780,25752,66311,47304,16033,81140,75844,96030,23763,14989,73282,93654,51181
47612,22006,61075,12790,9246,96848,23987,71934,36807,52360,43608,88021,87510,63765,3164,35790,44711,34393,43969,43579,49796,16134,72663,90996,11538,59661,33332,24618,43827,48958,48741,84289,59308,20486,24848,24164
61328,34420,35057,16140,93142,31277,36375,12592,89491,64476,43810,60036,43552,73984,12411,64519,68706,80824,81360,2774,81902,235,14574,32966,88740,27437,99360,2776,28537,93128,90832,41915,17978,63857,45331,48137
18046,74252,36465,93835,27354,75879,28776,47149,82012,72714,11094,70179,603,35088,61982,93002,53620,49445,66650,82992,88527,35572,14026,29010,56763,44148,27139,31641,51007,36025,86374,54933,45033,55145,91877,21612
38759,52999,42769,86167,75408,26275,3501,52680,27788,76727,41932,88462,13658,53002,49906,7274,59815,75716,56684,70551,85270,83338,71150,83040,93080,22025,86951,42622,54315,43434,86158,61643,84477,2983,79358,73606
85662,48420,18842,3506,66219,3175,9948,57952,11124,82506,15696,53345,75556,21783,85218,77802,11676,96214,45208,95222,66119,39893,55602,12184,76846,33230,202,44895,2878,95907,13134,30607,40217,39625,79158,84379
79387,11012,60594,31930,7781,11572,56005,4742,21193,33201,67062,8116,34798,141,76577,88775,13817,63760,75315,24999,34511,62406,65300,39049,90264,59529,6251,77094,41609,37702,37312,72684,81501,64045,56323,70998
59368,4337,13141,90939,61453,27965,63623,33350,13800,83219,36522,32929,29619,88749,8659,87822,69254,57768,29072,61244,25744,50321,72537,9198,13731,19434,7375,77810,4435,83278,22651,58024,43178,38039,60805,14852
43340,9682,60115,32840,14890,53779,4045,14028,62254,29966,65899,56402,46729,53107,62609,30735,24953,87147,43399,38280,51019,36217,61903,79026,73447,46885,35774,39843,40827,43702,35015,31596,65204,75280,64806,53671
57309,73731,62313,6971,44117,94588,15069,1968,85996,47489,39513,24443,58722,61078,79538,30650,30413,27718,87345,79458,56927,76937,11550,31252,89464,24615,9812,12887,1021,53780,84484,24985,94470,90542,45194,30687
61404,97343,41253,88081,53348,39315,93231,73857,33349,91088,36526,74425,26726,35956,78267,48366,76705,74066,85984,81098,16752,34379,27476,83421,11182,53968,79871,36885,23033,60734,90515,95462,25340,55874,71321,26541
45692,44248,24189,58353,52370,30170,42265,97162,88939,44814,48351,80064,31057,85379,92121,52907,19831,76706,30670,11271,88692,67783,41425,49225,98820,77911,13849,93907,55448,82301,27442,18757,23062,52006,14865,55727
82954,22877,25158,12515,92777,72658,44333,85987,93277,99024,29109,6437,35598,1305,96486,86723,18866,21828,1006,59381,8292,32231,56743,90598,22191,85134,26620,71754,52997,75774,90101,53669,12830,55878,87989,91636
4560,12122,39244,28145,38595,79397,58052,51202,58541,58006,93098,38234,48004,8639,74811,72547,55573,9938,22390,23018,30099,59862,26606,77096,96805,40455,36434,88300,36608,49564,8238,43259,16164,3094,92987,36331
4391,17585,71730,53189,34269,26196,76800,80200,84443,42027,59989,90910,84674,67933,95474,36570,27654,8894,39797,73035,69553,96305,16460,22994,87420,80326,73836,48406,41400,50495,72554,5782,542,98580,81581,27168
34107,52224,62719,51347,38356,96685,19285,72658,20484,46340,61254,76386,62348,76124,30210,68387,50223,73610,90718,52404,58526,22584,50726,49456,46563,33749,1657,31023,98101,90158,43677,94357,64976,81247,32387,28007
88475,18340,87598,94220,77719,89139,81586,74886,42828,65760,85661,31889,81826,2838,18021,25400,49198,2388,25688,47973,23668,68705,77084,43654,10055,4739,55085,75731,51991,45015,9351,64990,44576,82328,86645,56439
149,10143,99521,47541,16695,52661,89495,93072,74018,95030,50478,56883,75992,59767,76403,30422,4637,55690,68052,98756,74342,30272,75685,14831,24397,23217,29326,28358,83007,96731,74755,92136,61685,44618,82478,32266
68201,99273,58404,78145,66735,28246,46543,20702,8252,35581,63848,20711,87666,47411,86051,62399,37615,5793,56450,8398,20666,71091,82891,72548,23151,33929,1365,82592,25047,23388,24021,81616,41671,63412,25523,64443
25699,92658,99126,15079,62059,57516,58068,4333,75215,6584,14750,55050,18880,58879,58624,50689,23417,80816,62038,26774,38766,96420,23151,62813,27593,2249,27064,79845,69173,56895,9577,92599,11498,62855,71483,79835
72897,70697,77370,7229,18180,64176,53187,25081,58037,82603,61530,97641,54622,38787,2925,66509,25715,23228,16816,32522,25890,19731,83381,87682,80613,49917,3468,55002,30655,11272,26982,45975,54924,59492,26815,80465
10004,24482,65340,11159,71537,67845,6892,80279,96718,7745,74219,74010,4053,18374,88571,7980,74832,86980,705,70087,93156,94257,76615,56806,17110,43552,55139,65459,95971,66692,26346,82860,50973,79279,74218,94713
53421,17356,11467,3751,80379,44473,1818,34313,52733,37054,45707,4503,68238,71251,45205,5340,69018,72281,54884,88140,10348,90176,78380,60474,46294,91401,19136,6862,32573,92256,27007,17726,89629,57247,61716,68840
18328,68045,4188,89474,82825,39842,34703,91262,28703,85429,4846,28650,92284,4036,33757,28274,66965,75962,75229,5352,5912,15690,23614,37725,85941,2335,665,28306,38350,46574,67717,62460,67971,73646,8662,59706
32684,28981,52841,57429,34997,53225,61893,98824,74319,55469,68561,7556,892,11151,97623,31497,97860,82145,72148,9182,39971,31123,43762,19957,52426,24739,84663,72557,98740,30489,42094,40572,11622,40219,89229,75230
71681,26924,81035,96197,94645,37918,55050,59261,94852,94346,63776,20810,65421,92927,70075,68847,4452,87364,6473,41058,76313,8909,91153,1548,98541,1595,63566,93806,3972,51208,68969,55555,33176,78429,73844,38910
68250,28499,98168,40296,93472,49897,62696,25558,32504,55141,76588,27829,5324,27660,55970,77702,55875,66285,94452,45534,20539,8553,98289,1553,61950,73122,33708,35462,84950,55621,50071,62560,71149,37200,64683,7042
41162,46511,35679,26155,37500,65268,12939,59078,68040,81445,82478,17266,52532,83404,48707,18157,38599,78827,12951,19935,51863,90376,22988,29299,38140,76162,69355,83368,73013,87597,73054,86875,87162,56923,46474,12364
71616,38253,86266,63523,7522,50398,35702,80675,3394,90464,69672,23709,55310,42701,40060,4030,96075,5942,18847,91318,84280,96575,84944,53613,67291,6965,87487,81383,73477,26229,28810,62446,81095,87909,74245,58430
35515,95496,9132,51450,95177,31646,21201,78035,88388,41690,67224,55886,72922,68227,82663,72986,58686,82569,92242,59560,36546,59490,68965,81276,86674,49131,15700,9459,73698,50190,3727,30453,74009,71027,17633,47310
21254,19414,88749,44200,62259,22563,83550,79476,31580,79876,70922,18722,90948,42592,84694,89328,91226,54912,87705,25933,22786,55750,93090,70394,87811,30942,84561,32777,9731,49539,42810,28579,99268,8654,21148,9572
59206,57270,24453,28695,42062,41114,51753,92762,64149,34279,96743,65522,95287,56270,14807,52819,5698,30933,25502,28351,8506,89047,35726,55228,76814,51176,50364,21515,75264,45048,48395,87449,3619,82789,83971,65254
65942,63263,95314,60762,63508,59166,50285,15677,95842,6258,50433,35538,11882,44684,52462,70759,91672,79258,43154,75995,66661,50463,85067,37086,57590,16708,67209,54572,20412,18733,88128,96988,81364,45304,4128,49476
84500,97603,4467,9339,47860,68176,2730,1749,44167,6141,63018,84060,27837,38085,65377,21911,67120,56015,75297,19339,37376,32846,54707,26964,40059,39220,99667,73200,49323,33968,38701,89114,94539,38575,26253,75637
84901,23077,62120,39549,63533,31398,17061,87848,6859,23661,13937,8266,99451,36457,84353,60233,38753,67534,19902,36374,53483,16088,54755,59294,27866,40559,10970,34941,50730,91284,38449,60872,38321,89154,77964,30856
41050,65644,49697,81092,56711,52621,27793,53549,32558,90018,37815,36857,26405,45708,28894,48149,37312,9444,69058,17126,84293,42876,77495,58317,38848,78472,56507,76088,78386,98150,37806,95031,71719,36944,96022,30145
45228,52847,88234,69885,67138,16600,3937,2659,19439,30912,10323,92671,34928,72224,79297,87314,31525,47089,31465,4630,12824,77866,36629,37794,13172,14642,45010,64030,25277,26470,92373,34997,24997,13253,4881,37647
86605,88409,1912,48852,74965,30013,3098,70794,12989,63536,74753,91778,56531,6866,8121,11697,66405,29523,95349,24841,66358,8239,9542,8398,12671,35633,11085,85569,73960,87009,31862,56343,90228,26226,35574,23327
52177,43181,59784,55725,66265,86175,93476,3168,48715,95195,46033,63398,70819,62793,4393,88827,80826,49072,5956,79478,82987,85119,69555,5377,99826,13702,56788,64651,93357,67670,83629,77152,69658,77957,67076,9315
39219,43053,33075,13069,5266,83412,91736,21320,24728,82707,12079,93300,27685,14659,17512,52752,35243,2928,92108,12522,45802,49142,30379,96670,77931,62307,65417,17618,26258,93480,74571,84159,99612,91362,54425,69795
44098,74731,97700,92130,26207,28304,79438,15666,79810,38707,16804,78927,62818,71493,38678,64308,92236,48953,10024,51752,60544,51192,59813,31711,90351,85933,27350,97861,5514,66433,42152,46605,12187,66444,34306,62789
75881,4966,63947,58506,37622,83407,80988,94828,2072,80662,35694,9561,8859,2983,36970,74671,80031,9648,87993,51295,93533,65817,50323,41129,52600,16360,94065,1010,57732,12142,86858,61830,25216,71449,32523,25371
6430,21644,84290,14988,22003,70403,13103,49971,93442,22616,73486,10273,60641,99,73925,48208,47275,20446,58107,7054,38355,20293,47386,59443,64913,21792,43618,93649,49374,13491,7091,30359,67770,77724,13083,93837
38869,42239,2776,13092,81894,9984,18687,53593,67582,69434,95818,54039,48159,34375,37770,42305,43637,29152,38282,14057,19946,36384,39126,90962,31916,94022,18,9503,19047,29951,37691,10820,29706,12026,92563,96611
91383,71136,41241,52448,81492,60512,8535,13715,8125,60720,34441,54717,47174,79205,81279,3815,15287,16400,67006,24687,67448,95753,27799,3689,46832,6714,40863,87315,88118,74603,27039,72813,60695,94539,89391,37461
50353,91310,91158,47343,24688,48227,24557,23545,16476,1680,10276,42031,11367,9933,62642,68554,56849,31343,8338,51861,66318,7420,96873,90903,90672,90436,72940,57503,52110,18259,21253,43234,16980,44292,72132,21308
3631,71626,88822,92790,64370,53168,43044,52975,45143,5956,8022,61482,47151,56873,46392,76987,39968,5369,63165,21880,68331,57357,50306,33645,16035,70647,34322,42654,25180,34318,30962,19090,28869,593,76015,95760
17618,94009,66248,35587,55071,65860,56454,30096,41873,87483,33727,47112,5793,129,47331,22178,25291,1041,74039,49683,69936,30279,79337,8846,15902,6750,92746,53498,65587,14302,92712,16800,11423,1791,15138,36561
45256,70552,95396,83508,6470,57666,22300,11522,3667,52019,85797,51862,88146,57564,83472,5839,38604,72091,25472,58609,52625,55134,25313,42827,23691,84013,60222,97939,42270,36436,72281,62846,23653,25432,11101,10332
1330,30247,8187,6354,1131,73594,29954,2967,71624,26720,32811,61035,83288,43592,40199,52292,22289,1522,82050,78007,1504,52259,68125,41604,34478,92673,65755,9457,26127,64478,55318,71817,33539,2033,71432,93058
94695,32763,20801,43394,36877,96707,73776,42093,6190,44719,69579,30445,44876,1203,28104,62283,79419,90018,16109,17545,65161,98600,66323,53423,95514,46201,98297,83105,34435,53028,39553,56623,31656,85075,71168,48814
60211,31452,72796,37171,68841,7102,90870,25935,934,35455,95983,51325,47413,78243,62449,85188,93129,37922,98303,75957,98403,26631,52217,44127,42642,98549,1838,32192,97019,10482,159,41642,19991,24603,97747,33344
76581,41428,73952,82299,33863,65179,96974,57652,21854,15734,36217,36402,2544,70054,75251,22166,81526,46265,29442,48498,35639,39629,72863,11906,41999,45222,86675,82007,31386,35193,14099,77457,8537,39693,32981,40178
88311,62226,66167,7787,26719,85666,81913,87724,80185,49611,93821,69100,65810,88398,42803,94647,53820,59496,12082,43847,23498,63221,30102,59644,5571,20259,8353,16882,3399,30897,98449,71059,95180,90018,28041,62760
82130,16328,63086,25710,80969,78732,39973,61097,42918,67068,16112,50398,11995,8109,81842,59722,29329,29451,12107,64391,87013,553,60160,85700,57959,90706,75709,19063,13525,40144,17868,56477,92108,57086,83519,32004
55968,33069,72102,44949,21186,72133,64356,94929,47954,88727,37446,58037,21537,10691,36734,8971,23263,52671,30489,65618,97223,2268,90008,43089,32878,82175,92700,1736,88240,36720,5155,25322,22037,48344,79749,24445
6106,87806,44262,21876,30108,697,81390,77712,6078,38112,44946,95088,4820,78886,31829,81220,26968,65644,9344,8577,23900,28733,95098,76596,62962,64666,58354,47590,90022,4557,39366,39869,9485,46968,56555,76342
12643,78985,59831,23539,93160,76374,48510,78266,21514,36283,28178,80710,76865,79052,91252,72237,30921,36088,5782,81225,82447,18384,34804,43957,25386,13738,9586,62991,3565,9896,72305,38403,94219,54613,24544,37209
7503,38985,27986,35612,19237,63240,10722,18427,70752,51421,58422,16963,77969,59123,62117,22721,75884,65685,80638,43236,30332,40161,45719,58587,50043,16262,71235,56084,35160,48016,43192,81419,67828,7937,71098,7090
