B_C,H_C
2623,76859
2652,70229
2671,1624
2703,78869
2707,14627
2735,9012
2740,32904
2771,77816
2774,27437
2776,42140
2783,28417
2789,73024
2797,53312
2799,59238
2807,17492
2810,50573
2814,51419
2821,29836
2852,25008
2860,90400
2878,48558
2888,67069
2891,91745
2896,73852
2914,59462
2921,44769
2926,6655
2939,25793
2945,54324
2946,62056
2949,86016
2953,17219
2956,43046
2970,44119
2993,73354
2998,10428
3024,43292
3033,25673
3062,9146
3093,9566
3111,1866
3119,87366
3125,81826
3130,38426
3137,42100
3144,29101
3152,86934
3166,11120
3182,53727
3184,3412
3185,53009
3188,18186
3191,26457
3195,12842
3198,643
3214,79860
3218,55441
3219,73772
3225,84310
3228,30823
3235,20018
3270,78881
3273,34057
3274,22757
3288,83668
3289,36071
3292,31348
3302,71863
3312,82709
3314,3409
3324,32462
3326,81079
3329,48810
3342,72750
3354,14334
3361,38371
3379,42858
3388,69562
3391,64803
3409,43883
3416,34442
3428,4566
3432,34812
3435,17875
3459,43967
3475,29001
3506,67642
3518,99331
3520,42279
3532,11238
3561,14440
3585,5474
3592,65172
3594,77505
3626,46646
3629,91812
3630,58066
3639,12944
3641,44327
3646,74927
3655,63283
3657,8360
3702,14808
3710,95130
3717,23182
3743,33246
3756,10027
3778,27343
3785,48072
3787,97075
3821,37026
3845,27234
3873,95282
3874,55141
3913,51278
3926,73096
3937,73713
3943,22316
3973,55176
3977,10510
3984,66264
4011,66829
4013,7954
4014,68311
4017,87064
4031,38407
4033,14440
4043,88239
4047,55910
4048,25809
4059,59407
4077,11675
4082,69808
4094,71200
4115,44667
4121,61159
4125,1071
4146,1563
4149,30870
4165,61823
4170,26965
4198,94146
4204,807
4218,46412
4233,37777
4236,45118
4239,10171
4252,49989
4261,89962
4281,95638
4296,51977
4334,20455
4337,94415
4353,91646
4366,6054
4385,2273
4391,93250
4393,77246
4403,15385
4409,19222
4422,49762
4423,85094
4424,52481
4430,62593
4434,70782
4437,39479
4450,11823
4460,6811
4469,53775
4473,21798
4480,589
4490,74189
4502,97887
4525,54912
4528,73073
4530,97661
4534,82828
4541,23487
4543,51663
4553,99706
4557,88688
4568,49686
4574,3469
4583,87362
4587,79007
4596,34368
4606,17836
4611,71188
4629,73372
4630,14642
4631,71734
4657,30213
4669,38602
4671,12001
4699,40276
4713,67217
4716,35786
4724,99123
4725,81364
4730,3843
4737,40072
4749,7082
4756,73079
4763,99592
4770,69243
4778,70213
4804,72193
4805,2346
4817,24993
4827,35119
4831,83822
4833,1418
4878,68109
4887,19935
4900,62835
4903,14629
4907,83500
4909,13173
4929,32285
4949,53009
4952,58295
4972,20996
4989,17201
5008,93597
5024,3025
5046,64745
5050,15442
5085,81311
5090,45231
5094,30337
5100,97114
5105,80379
5111,86741
5120,3290
5171,98904
5220,65760
5253,89926
5272,71027
5285,72360
5305,79470
5311,49303
5321,43990
5327,94438
5351,91686
5352,2335
5368,39694
5369,18760
5371,11205
5407,34916
5437,48295
5438,14202
5466,21445
5487,2330
5510,40092
5511,20819
5527,37482
5536,90415
5537,36492
5540,16780
5541,4463
5542,57880
5549,90513
5556,4179
5568,92408
5598,82502
5607,96742
5616,36763
5627,96618
5643,45855
5674,27165
5695,73162
5696,32096
5720,55434
5731,19885
5732,52602
5740,59274
5752,34892
5776,1243
5785,38770
5786,47218
5788,16369
5790,72365
5794,26680
5834,80408
5865,17036
5891,13488
5913,79725
5925,94785
5931,52464
5938,46813
5941,68620
5950,36320
5990,14133
6036,40484
6050,88728
6079,78825
6080,14073
6092,32080
6095,71766
6100,59566
6102,43846
6117,88923
6132,24709
6136,89539
6143,9732
6147,87633
6176,50092
6182,9124
6188,68391
6195,38684
6215,13058
6217,67704
6236,278
6241,22878
6242,83252
6243,2005
6247,92697
6262,74253
6270,74221
6299,73468
6330,11164
6343,98890
6346,75655
6347,39156
6352,85859
6359,1119
6382,73416
6385,82673
6398,60106
6408,7918
6421,57320
6424,36129
6425,55695
6426,93886
6438,92432
6443,19101
6446,26944
6463,72802
6470,30683
6496,36540
6499,85128
6511,37313
6523,74989
6524,9898
6526,83412
6531,22808
6535,16482
6536,39783
6554,96479
6558,6295
6567,48547
6573,86261
6574,99075
6589,22553
6592,24775
6638,32871
6665,71094
6678,85966
6683,1003
6714,29453
6734,15285
6741,71014
6767,27587
6773,99946
6790,3112
6809,12341
6812,85946
6828,61067
6830,97486
6839,58650
6840,13783
6842,70216
6860,47558
6862,88378
6867,68875
6880,38668
6887,31314
6901,55407
6902,46503
6904,94340
6911,10849
6919,45942
6927,10894
6964,38749
6967,76204
6970,82624
6971,1474
6972,63866
6977,93553
6978,63458
6982,76201
7021,53413
7030,95650
7035,22405
7042,44281
7054,21792
7056,55084
7091,65617
7098,13821
7118,21991
7136,81713
7145,86087
7149,45509
7162,15478
7169,1393
7188,73460
7195,89661
7203,70176
7205,60035
7206,47174
7231,1777
7242,72862
7251,37154
7271,2387
7273,81164
7284,30903
7295,34448
7324,57154
7333,67140
7352,84264
7355,98424
7356,12862
7363,13584
7365,75654
7367,13977
7372,2695
7391,97442
7403,56110
7413,47364
7417,19446
7433,12523
7434,30344
7443,40294
7455,39481
7463,69966
7490,65421
7507,19843
7548,95949
7554,16054
7558,17953
7560,64558
7587,45936
7596,85606
7621,56958
7644,2622
7664,6756
7671,19042
7698,26248
7705,96326
7716,43169
7725,90542
7736,44082
7772,2875
7774,49027
7777,85970
7787,25641
7791,17876
7797,98126
7801,19324
7814,4683
7822,96888
7831,84587
7838,22127
7840,14052
7855,6516
7909,59141
7920,64369
7925,70935
7928,34467
7943,79413
7945,37151
7964,74397
7969,29606
7972,75550
7980,25000
7999,85495
8011,152
8018,48972
8059,43627
8079,23535
8090,87112
8113,52106
8120,58364
8144,44980
8164,77628
8167,86511
8171,55254
8173,99068
8179,61806
8191,2261
8202,2481
8222,99547
8226,78026
8231,50870
8243,80276
8249,88871
8254,82540
8257,69115
8270,93214
8272,15285
8276,25685
8283,79353
8296,92494
8300,28278
8328,65747
8347,20243
8349,14195
8353,87870
8355,73870
8357,99753
8368,63045
8376,83088
8384,33803
8386,99003
8398,33929
8404,39476
8433,86651
8449,12908
8453,39906
8484,55106
8489,12310
8500,55298
8505,56539
8520,22913
8526,77092
8530,12178
8537,4130
8542,90055
8558,24110
8560,54681
8561,85686
8562,3571
8572,3129
8577,64666
8578,51294
8580,1953
8583,14282
8593,22365
8612,5838
8616,78498
8620,83647
8637,57039
8648,86140
8668,21416
8679,1218
8685,90201
8687,50079
8700,6013
8701,98787
8702,97726
8713,7917
8715,52817
8726,89515
8735,13353
8747,7035
8752,16670
8753,36090
8762,7915
8781,30125
8786,48852
8808,91987
8809,52643
8828,50331
8830,94070
8845,52759
8849,40098
8854,73496
8855,30754
8862,6606
8864,81280
8873,68537
8888,99938
8894,77607
8909,16557
8918,49421
8929,43510
8936,18411
8937,32564
8939,69752
8944,19473
8959,81316
8964,24004
8970,4301
8977,74442
8987,22154
9006,3003
9013,24834
9031,56180
9034,44300
9041,50867
9048,79785
9055,14211
9056,3412
9072,90850
9077,42310
9078,66020
9131,44747
9133,26593
9134,7604
9143,10505
9182,24739
9201,82050
9205,20013
9207,39639
9214,21094
9222,81977
9223,45394
9227,35280
9241,92577
9247,2354
9260,61414
9278,34902
9282,17784
9284,33476
9285,8838
9288,6827
9290,50886
9298,1510
9305,2536
9312,47282
9316,35872
9331,34291
9333,19627
9342,11645
9361,27459
9369,90454
9370,93082
9379,24818
9391,70041
9432,93639
9436,34641
9444,86325
9451,42750
9468,84055
9476,15480
9499,24723
9501,37331
9508,38508
9509,6528
9510,95026
9514,26340
9521,29764
9533,9919
9544,53756
9555,36011
9567,10968
9570,79714
9583,62191
9590,95804
9601,97722
9604,91029
9613,49168
9614,58053
9646,3159
9656,49044
9659,18159
9660,75592
9672,9700
9689,32229
9690,20396
9710,59474
9729,5194
9730,98808
9742,41657
9747,45538
9761,82606
9787,77526
9788,81493
9796,28544
9814,73257
9815,83106
9835,93201
9841,9770
9843,43354
9849,61922
9852,1199
9858,4238
9862,49824
9866,6583
9881,47179
9882,70227
9883,17050
9889,49724
9896,66392
9911,74412
9912,52307
9913,18406
9914,89302
9920,72315
9970,44937
9975,11411
9979,97148
9999,63842
10000,24593
10011,81268
10013,63478
10026,56954
10029,53412
10034,29499
10047,28228
10055,8148
10062,87504
10064,54325
10072,97600
10078,71542
10089,67328
10108,72980
10111,7097
10117,4001
10121,76017
10125,22422
10126,38307
10129,89244
10136,43460
10141,34126
10156,13680
10186,81558
10195,25095
10197,61767
10205,85246
10219,9407
10237,14227
10244,96136
10269,54787
10276,73202
10279,76477
10281,15587
10289,59367
10298,52903
10301,39328
10304,51486
10310,10594
10318,27431
10321,84907
10334,73450
10349,48431
10354,37069
10355,56260
10361,70281
10403,63922
10407,50213
10422,32844
10437,59048
10445,11070
10465,43445
10476,15358
10484,4875
10490,71069
10500,80583
10505,35079
10509,1348
10514,96148
10557,8829
10560,74724
10563,62844
10575,85418
10584,80407
10597,27285
10601,54916
10610,13677
10618,65042
10624,11206
10640,36692
10653,62897
10681,11638
10685,29243
10704,50989
10734,59622
10737,45064
10738,80070
10739,64150
10743,92840
10753,10084
10760,50126
10762,85011
10768,87640
10771,32951
10777,95083
10781,13692
10784,71471
10789,36164
10793,85980
10805,18441
10852,55635
10873,58222
10875,71816
10878,51178
10893,37396
10909,1615
10915,3173
10928,16948
10929,44567
10959,88190
10976,80166
10978,20356
10995,68308
10999,36306
11023,83462
11028,97488
11044,2566
11051,63819
11055,47512
11059,68461
11065,63854
11070,84641
11083,17066
11114,89377
11117,64076
11145,21133
11146,87989
11148,587
11152,33997
11156,31465
11177,52994
11183,87827
11193,57828
11219,26863
11226,19688
11254,47355
11255,14172
11269,85419
11271,77911
11278,77290
11281,85169
11282,92637
11284,55609
11316,33062
11318,93547
11321,87075
11328,61149
11333,18690
11353,99212
11371,74722
11374,73713
11389,79849
11412,3637
11413,91216
11415,90946
11425,87367
11434,57785
11444,5988
11467,258
11507,87496
11551,27206
11610,67689
11623,68232
11624,92953
11636,73570
11640,83789
11641,18984
11644,82969
11668,25656
11675,86074
11721,8204
11728,49988
11729,68761
11734,20578
11737,61932
11739,25793
11741,65084
11757,97454
11760,12189
11769,93000
11786,3783
11790,79388
11791,80093
11803,35761
11847,37766
11863,38933
11870,54228
11872,699
11875,71728
11883,9977
11885,13976
11886,89845
11903,44890
11912,15809
11927,97640
11942,18265
11945,66870
11957,47893
11970,41629
11981,30371
11982,56002
11988,55709
11998,89413
11999,46184
12001,15989
12002,90545
12008,68239
12009,94824
12024,42781
12048,62894
12049,73527
12056,49574
12067,96306
12070,26236
12075,96462
12077,78386
12083,13459
12088,15739
12127,94611
12133,9745
12139,82757
12151,14307
12152,94756
12159,85125
12161,66245
12170,89877
12173,77777
12199,74514
12203,51414
12215,1842
12217,62687
12219,19769
12226,56494
12230,93733
12253,10843
12263,61324
12273,19299
12303,95459
12306,63547
12322,17982
12332,49586
12346,51815
12347,61156
12350,94963
12358,97513
12360,96517
12388,32169
12397,32226
12416,99247
12417,49942
12419,72223
12423,40545
12437,56171
12441,30584
12444,44240
12459,86025
12481,96878
12484,36541
12509,9740
12518,73524
12520,78591
12522,62307
12532,74855
12542,64116
12551,58388
12568,5878
12571,76352
12613,66482
12620,59664
12626,11347
12643,67508
12644,19291
12650,98904
12657,18418
12666,34259
12680,92387
12686,92835
12690,87859
12694,59582
12696,30174
12702,93005
12707,48583
12711,1078
12714,8053
12726,338
12727,30451
12733,22811
12749,47658
12757,57736
12759,83068
12762,46431
12778,50834
12780,83501
12785,3678
12793,51087
12803,286
12811,85469
12837,25868
12842,40302
12872,41325
12900,40015
12905,65561
12915,57670
12920,64841
12928,26946
12958,9355
12961,8042
12966,1760
12993,81337
12995,47030
13005,55089
13007,74113
13016,94343
13020,7251
13024,56035
13037,61108
13048,36431
13049,39247
13050,83549
13057,48918
13067,81350
13073,96062
13087,1667
13100,86031
13102,22866
13109,56295
13133,71301
13152,12529
13161,40532
13169,53604
13173,38202
13184,26917
13187,57847
13206,55897
13212,46111
13229,84818
13236,21229
13247,48680
13256,24935
13265,58188
13296,33289
13320,15104
13321,66172
13326,56963
13327,8267
13330,41445
13361,12448
13366,64304
13374,13548
13378,39881
13383,55650
13388,53523
13390,12308
13405,49259
13409,27226
13415,85927
13416,30692
13429,79758
13439,75487
13463,88554
13473,83869
13490,4704
13494,87005
13497,11040
13514,61853
13519,37019
13528,35056
13535,56636
13537,70850
13561,7022
13581,558
13602,36640
13603,13518
13630,70965
13631,64999
13641,78955
13661,3664
13662,92082
13674,44364
13691,16681
13693,51128
13695,16957
13708,82108
13722,51445
13728,59720
13733,63349
13738,50272
13767,6900
13780,32348
13787,90983
13799,26081
13817,76207
13819,9263
13835,69323
13841,4095
13842,67154
13843,93495
13857,82266
13862,48600
13866,53989
13890,90438
13903,97641
13941,17277
13945,72071
13946,7796
13952,254
13956,44691
13957,18051
13976,92042
13980,92310
13984,78788
13988,97132
14007,6867
14019,40880
14038,32723
14039,23356
14052,32930
14057,94022
14058,78100
14069,5317
14075,64280
14085,25514
14086,83727
14097,85567
14121,24154
14129,98398
14141,82200
14146,88461
14170,15045
14189,31621
14203,55073
14212,77100
14220,88359
14224,8495
14235,9020
14237,63954
14242,64710
14252,55324
14259,49006
14284,22150
14300,43758
14314,94505
14318,13512
14350,99921
14359,50209
14389,67213
14391,12478
14393,69746
14398,16370
14403,80354
14419,10191
14447,5419
14466,36614
14472,6016
14478,63632
14486,26798
14516,81810
14548,10787
14556,90349
14559,8597
14586,39095
14596,21979
14611,50335
14614,88354
14624,80176
14648,40235
14652,18389
14658,70659
14659,75734
14665,65268
14699,36984
14705,95347
14708,55110
14713,28043
14736,28912
14739,43654
14765,39298
14773,52800
14778,61591
14783,86695
14806,12297
14815,68948
14823,32195
14832,45534
14843,48258
14857,81978
14867,53079
14883,52084
14894,7777
14906,30370
14936,2617
14944,42660
14952,97024
14958,56281
14969,96921
14992,34334
14996,81168
15014,66016
15054,34342
15058,13068
15065,8420
15098,40932
15122,35725
15161,13324
15163,95268
15176,28100
15189,4577
15196,47541
15197,27791
15216,10282
15227,30089
15235,75595
15242,26536
15249,53345
15254,68404
15264,55804
15282,67774
15294,75404
15296,32298
15297,91361
15303,11884
15318,8643
15327,78051
15335,62715
15340,70769
15352,39562
15366,55624
15396,86767
15397,16087
15400,10706
15408,16465
15433,4429
15446,2666
15479,54695
15482,78553
15484,40301
15488,66515
15500,64631
15508,20709
15512,35953
15524,13080
15530,58878
15536,17029
15559,36672
15576,34707
15582,31074
15584,47522
15585,83517
15589,49820
15595,42393
15606,52531
15613,82150
15616,12360
15622,94352
15637,76037
15644,57764
15650,81627
15653,4533
15663,82715
15667,7492
15674,45408
15682,42176
15688,58242
15698,14512
15718,58047
15726,54457
15733,5480
15736,6469
15753,26675
15757,53142
15760,99307
15772,3197
15776,34513
15789,60257
15791,33670
15792,31154
15802,19961
15807,49087
15820,97212
15832,18441
15840,718
15846,16559
15858,91466
15868,80448
15876,84190
15902,65479
15904,37453
15950,58082
15958,5798
15967,9088
15969,50060
16016,36754
16034,54640
16039,77643
16051,17036
16064,61423
16066,27521
16087,18787
16090,41294
16092,7356
16101,44301
16104,24957
16112,88076
16115,99103
16120,61585
16124,2993
16143,94895
16152,97233
16159,92114
16173,46483
16182,40380
16190,2419
16191,53762
16201,10065
16207,1782
16218,57992
16227,4162
16252,99003
16256,28420
16296,68007
16354,9775
16371,78816
16387,81718
16399,69687
16407,81288
16409,78995
16418,81371
16428,97751
16432,32855
16451,87713
16456,26616
16475,55523
16483,95279
16489,60928
16490,58952
16503,72158
16505,35975
16509,41454
16515,93335
16518,95140
16546,35077
16547,59683
16550,28562
16562,84177
16574,89733
16594,87204
16599,2787
16603,74888
16617,16287
16619,4735
16633,46747
16645,92153
16663,28984
16664,38033
16669,62869
16705,94944
16722,77573
16725,96016
16743,96262
16752,51997
16765,50632
16775,81131
16776,74522
16782,44178
16784,65713
16787,97882
16792,23881
16804,75924
16815,71820
16824,12613
16828,5150
16848,4991
16854,94160
16863,98001
16867,12525
16870,46195
16879,52363
16883,560
16899,95639
16905,98108
16907,41342
16921,51847
16925,78519
16934,90276
16940,84548
16951,28261
16973,53162
16999,15408
17000,3310
17034,79573
17082,44383
17086,10721
17090,65442
17093,49610
17096,23135
17098,68305
17099,3754
17112,728
17126,78472
17141,96907
17147,61146
17159,38778
17172,91090
17190,52563
17193,66120
17253,33530
17256,33088
17263,2263
17264,7964
17266,85076
17271,2064
17280,93289
17311,77028
17315,23576
17318,45443
17364,50144
17388,21226
17397,84415
17399,98139
17400,95261
17401,18679
17402,64081
17420,27210
17424,61905
17433,45231
17454,63348
17466,38168
17470,27036
17475,83861
17477,64029
17490,31693
17492,12387
17501,80537
17505,42339
17533,98959
17537,39272
17545,46201
17564,980
17574,86258
17581,30434
17582,80343
17590,78268
17596,28232
17606,45025
17608,74743
17623,25123
17634,10186
17636,72307
17641,22452
17644,46357
17656,39956
17677,27780
17689,31085
17693,89577
17698,52926
17700,40089
17703,43433
17710,90112
17713,59812
17715,39378
17721,54973
17741,2911
17742,8469
17747,70239
17749,1696
17759,31956
17779,70902
17797,97048
17804,86024
17807,75200
17808,7932
17810,19106
17838,35879
17845,64247
17850,29666
17851,63161
17858,94954
17863,88929
17874,96808
17884,99051
17892,75591
17895,40495
17909,46439
17934,40279
17947,18404
17948,46508
17952,75070
17954,17095
17993,56085
18009,26585
18050,21538
18061,42061
18069,82095
18077,2598
18096,42359
18097,75191
18129,38314
18141,2441
18143,10024
18168,30852
18170,66755
18177,40791
18179,10074
18180,97919
18192,19649
18199,61083
18205,82796
18217,37757
18224,39260
18232,50366
18267,96211
18268,60092
18270,52760
18271,85235
18274,1620
18283,27956
18291,82383
18293,69718
18348,89998
18367,19333
18389,5716
18393,41298
18394,26556
18400,51945
18401,87744
18409,13121
18419,49161
18424,36548
18432,48868
18464,82114
18471,81038
18472,70967
18485,35493
18490,97295
18493,32289
18499,43373
18500,70747
18518,29935
18531,23825
18536,71080
18541,91053
18549,40333
18553,34450
18560,13828
18571,20499
18577,38292
18588,11727
18602,63106
18604,45473
18608,42294
18613,54753
18621,6665
18655,12179
18684,13213
18688,99151
18695,64995
18710,3803
18719,55162
18731,5247
18738,18068
18757,48003
18774,5569
18821,13111
18857,80766
18860,28715
18865,29925
18867,9175
18870,9117
18873,92022
18925,50695
18949,47257
18979,11196
18988,84263
18993,55906
19023,53801
19038,37970
19041,52966
19054,53789
19055,31265
19058,33048
19072,47171
19103,96264
19117,2832
19119,60676
19156,17779
19157,85962
19160,54226
19165,85256
19167,74798
19180,4832
19202,57057
19206,56969
19210,4714
19234,11171
19256,67177
19274,39384
19287,51633
19315,85253
19320,28529
19334,88312
19337,27455
19339,39220
19359,48325
19369,76773
19389,19582
19408,46069
19411,65806
19417,63350
19424,76811
19427,7384
19440,82572
19457,6111
19471,60980
19472,62145
19474,56325
19485,92260
19491,31431
19514,92589
19525,30452
19529,81639
19530,31461
19535,15936
19577,39070
19580,82300
19581,33808
19582,75955
19599,38879
19622,45747
19631,47771
19634,14628
19636,43592
19641,18942
19642,14105
19645,10495
19648,93688
19649,18792
19651,3237
19675,14969
19713,35110
19727,22590
19738,20081
19766,98035
19779,40499
19780,21396
19782,56330
19787,67447
19794,25069
19800,56757
19806,99335
19834,86062
19842,81297
19846,98592
19852,32742
19864,93680
19868,17478
19871,416
19875,74362
19880,11604
19885,18416
19897,62274
19898,45590
19900,53122
19906,40891
19913,51653
19920,25734
19921,9329
19935,37077
19937,28097
19951,15075
19978,26595
19979,20607
20000,85907
20004,62931
20012,62497
20022,36946
20025,15328
20026,15847
20069,26326
20077,56957
20079,11415
20084,97471
20091,61993
20103,22292
20107,19627
20108,78805
20126,54186
20135,98596
20136,3462
20152,66616
20162,71522
20166,59083
20171,73597
20183,21743
20196,71414
20203,30779
20205,58931
20222,68625
20223,81888
20242,40508
20248,5920
20250,93775
20259,56317
20266,50308
20278,1476
20326,67685
20340,83926
20345,53179
20348,96957
20356,97270
20368,58943
20373,76213
20378,68222
20390,12269
20392,27128
20404,55257
20409,80458
20410,42986
20411,29610
20432,40444
20449,64928
20454,10001
20467,66311
20473,66710
20489,10766
20520,44421
20528,5884
20529,34540
20540,45751
20542,64072
20563,95446
20583,86463
20590,38383
20594,18017
20608,2112
20622,89863
20627,69119
20634,90269
20687,32743
20693,75557
20699,63467
20743,36580
20752,2628
20754,26876
20762,4260
20786,57502
20788,63113
20794,21128
20799,66152
20800,76167
20804,80362
20818,42819
20824,10122
20834,82918
20841,39738
20854,37126
20857,52754
20886,17748
20895,43649
20901,81368
20906,15021
20907,66182
20911,8379
20914,53111
20916,32835
20917,63604
20919,87089
20927,75967
20951,24301
20960,95307
20984,98954
20985,79349
20988,33306
20994,6480
20996,86332
20997,2822
21002,33928
21015,55985
21030,34014
21038,19860
21045,51574
21050,82103
21053,12800
21074,13303
21091,5392
21101,7975
21105,28067
21111,19078
21112,74232
21126,45304
21128,56388
21133,63746
21138,37843
21156,78373
21172,19926
21178,18642
21179,77855
21183,21732
21188,71011
21208,21074
21222,36168
21236,59928
21239,83678
21244,77209
21259,98303
21261,12034
21272,95950
21304,76587
21317,75117
21321,50901
21326,30839
21329,99316
21338,89803
21346,651
21348,30687
21404,32843
21415,29756
21427,23983
21442,65860
21447,29000
21464,5341
21469,53193
21479,52173
21494,67760
21496,96092
21497,63901
21499,60027
21502,81703
21536,19483
21538,93447
21542,73579
21555,11736
21595,90159
21607,95903
21621,45201
21628,91344
21638,84401
21650,62740
21673,12033
21676,98082
21679,9067
21684,62030
21691,7137
21704,33219
21706,96390
21713,9294
21725,147
21763,94399
21765,32062
21796,2008
21815,51101
21822,71874
21824,31744
21836,42504
21839,33527
21841,99259
21847,72571
21851,22841
21852,9694
21880,70647
21905,46881
21918,99360
21934,66875
21955,14228
21965,32862
21977,86297
21981,98822
22021,11252
22061,56298
22080,48296
22093,48995
22100,33601
22103,26288
22111,9890
22122,44273
22127,318
22134,84002
22141,7856
22145,34396
22160,51796
22171,6166
22198,44667
22202,57018
22212,64131
22220,49259
22221,80617
22245,19735
22274,1526
22303,646
22312,45713
22358,5271
22360,71129
22362,75222
22364,56103
22367,37555
22385,13861
22386,90498
22396,68447
22399,89379
22411,92528
22436,36870
22443,35321
22454,73466
22487,58159
22518,5259
22522,13866
22527,83297
22532,21091
22535,89947
22547,96837
22559,17398
22564,46966
22594,61137
22598,64189
22600,95295
22615,17397
22633,13290
22634,60099
22636,88039
22669,62470
22681,94989
22683,21028
22684,23572
22697,32464
22704,68293
22706,41714
22709,13002
22769,93622
22770,50245
22791,39742
22816,50142
22829,54123
22833,82950
22838,28789
22851,22952
22854,84696
22860,9981
22876,80907
22877,73301
22898,24257
22912,86161
22923,11085
22925,45578
22926,61203
22927,25939
22934,96205
22948,47246
22949,11438
22958,83437
23010,36846
23011,51795
23018,10406
23023,10800
23030,6513
23031,65302
23055,78105
23059,93860
23062,29661
23068,87969
23109,37088
23113,39108
23140,1746
23149,60705
23153,19377
23171,63496
23180,41277
23181,70286
23183,58850
23193,69836
23206,25173
23209,68764
23210,45453
23211,99084
23214,17837
23232,6160
23243,36932
23255,37873
23289,92306
23306,87386
23308,84614
23324,11500
23355,71141
23363,82077
23379,28872
23391,14826
23417,74139
23428,58248
23433,43351
23434,18341
23436,99920
23457,79430
23466,83768
23468,64985
23494,67857
23513,60199
23522,56068
23523,9520
23524,32346
23530,1566
23538,39796
23557,61399
23565,89087
23569,16081
23602,98742
23605,48751
23616,66816
23618,99184
23626,14740
23628,67503
23630,55745
23633,60658
23644,59007
23649,32896
23660,43928
23682,13735
23695,83728
23699,58478
23718,71737
23721,61408
23722,23515
23723,71486
23731,76359
23738,74176
23756,46417
23763,4877
23767,10994
23769,81653
23773,98396
23781,86730
23784,67778
23794,19189
23795,23035
23797,30271
23818,14530
23820,60198
23851,73915
23852,63284
23885,30562
23898,76693
23907,25986
23917,30142
23919,1085
23923,12252
23941,31258
23972,98756
23978,4774
23980,40873
23981,32425
24009,7673
24029,14980
24030,28795
24044,49762
24062,93750
24065,89697
24071,77473
24078,92493
24083,8997
24089,23659
24123,46122
24126,59812
24136,81036
24150,53452
24163,65003
24177,62272
24179,15249
24182,26036
24185,86750
24195,53226
24201,46286
24206,84094
24210,45666
24223,97890
24240,34854
24243,64950
24260,39356
24270,76262
24275,48138
24278,5934
24279,60510
24307,73474
24310,82997
24320,80920
24337,75386
24355,20407
24383,81635
24386,99970
24399,16872
24411,46300
24421,60882
24449,95698
24489,35867
24491,90809
24494,15134
24506,11908
24523,308
24531,84521
24537,6243
24543,75036
24548,9909
24553,28609
24580,92798
24582,39691
24584,22605
24594,18340
24598,13557
24609,95614
24611,11299
24624,39659
24636,94877
24651,66690
24666,11152
24667,71548
24678,833
24687,6714
24691,70484
24694,37107
24703,40140
24714,11177
24721,1298
24730,38690
24732,89865
24749,77417
24752,42884
24769,16449
24771,11549
24786,3349
24797,96479
24809,23253
24812,5923
24813,71466
24839,2398
24840,30371
24841,35633
24847,25607
24906,44017
24921,5482
24940,69739
24955,13352
24971,12930
24975,66274
24978,6088
24980,77717
24983,33985
24986,23325
24994,86481
24996,36377
