E_A,B_D
10260,35459
10269,24271
10282,75515
10285,80869
10306,30710
10322,23534
10326,62824
10360,20513
10361,56721
10389,35048
10395,66563
10396,47113
10409,79869
10412,92818
10421,59975
10424,76612
10437,15465
10439,17761
10450,25049
10453,29888
10461,34159
10464,35177
10475,82811
10477,28865
10478,50125
10493,92550
10517,31716
10523,69401
10533,41748
10548,29133
10555,38718
10574,40580
10575,35720
10582,51956
10585,39190
10591,35851
10618,82015
10620,91395
10621,28377
10623,72595
10632,54602
10652,70101
10653,86783
10665,41173
10679,44034
10680,57741
10684,39551
10690,49561
10691,4512
10721,90713
10727,38931
10739,91085
10749,87037
10753,78141
10757,91227
10767,95114
10768,71623
10772,83920
10784,24560
10787,19407
10792,92243
10807,9340
10842,94088
10848,81569
10850,29287
10861,68480
10865,15334
10872,33766
10876,73619
10888,18736
10906,3472
10956,95056
10969,99910
10973,28956
10990,41564
11010,78032
11025,92179
11026,59623
11031,95579
11077,21486
11078,71577
11096,5347
11104,59429
11109,32937
11112,116190
11114,35300
11115,87563
11121,40114
11125,89001
11131,61660
11147,89413
11164,4378
11166,80131
11183,23606
11201,50387
11216,33515
11223,38456
11226,39780
11245,59743
11264,50007
11267,42906
11286,10813
11290,52570
11313,55129
11345,56640
11350,2842
11372,6574
11386,85505
11398,15036
11416,53830
11424,71281
11436,62036
11447,71031
11452,31808
11467,106882
11468,23855
11469,98210
11472,34854
11476,84064
11498,90041
11499,14550
11509,25946
11512,95364
11522,52864
11541,5271
11566,78795
11568,59598
11571,93966
11585,92670
11652,57598
11656,66001
11670,28873
11673,91706
11674,74687
11678,49085
11682,17409
11709,38167
11711,48225
11717,42657
11744,56201
11754,20046
11761,23877
11797,92551
11808,2845
11811,47340
11817,11605
11821,44970
11833,13810
11842,42503
11865,54494
11867,52246
11869,29805
11884,33420
11892,91469
11895,1464
11921,11852
11930,73170
11932,18147
11934,38392
11935,3241
11955,56813
11973,73508
12016,82990
12024,20867
12034,50881
12037,39302
12050,9704
12056,26341
12080,34320
12086,57202
12105,76841
12107,25887
12122,80304
12130,15348
12135,83645
12140,33266
12141,70308
12173,15446
12180,41045
12189,68898
12191,11464
12199,71389
12203,61248
12210,13700
12231,88945
12246,43748
12256,35566
12268,92746
12282,95944
12302,82938
12314,21724
12333,28034
12335,20272
12354,14440
12355,94621
12377,81732
12381,58614
12383,95528
12391,98105
12402,151489
12415,11096
12417,33221
12429,12172
12451,74060
12457,13041
12461,9144
12463,68923
12467,58199
12469,59846
12472,108576
12480,7329
12495,63509
12501,42096
12508,42370
12515,31610
12516,89899
12551,90225
12553,72775
12568,30876
12570,34892
12579,81203
12615,84373
12631,36967
12638,95070
12641,65947
12662,94231
12690,22573
12702,32430
12718,38645
12735,32456
12740,39712
12745,4259
12751,53340
12763,50877
12765,89420
12777,59388
12781,188529
12782,17574
12786,97543
12812,82175
12818,10236
12823,83533
12829,46668
12830,34725
12839,91664
12851,78243
12882,8870
12934,98223
12943,97102
12949,17239
12955,18407
12974,17170
12986,69793
12997,84525
13025,77630
13030,61148
13036,20077
13039,92098
13048,18134
13066,61999
13084,85152
13092,98957
13096,22827
13100,46455
13102,13922
13111,3049
13119,15819
13138,92874
13140,93382
13142,43037
13146,97944
13147,68178
13176,98757
13185,4557
13262,64732
13271,18384
13281,28774
13285,83144
13295,96983
13299,87629
13318,91608
13325,8
13329,23089
13335,1713
13345,97807
13356,87032
13368,99448
13369,95107
13380,1852
13396,25329
13398,33182
13399,4757
13402,3049
13409,23334
13410,51556
13424,97283
13433,36242
13438,87542
13449,91357
13465,61260
13467,82175
13470,24578
13471,56235
13487,68414
13504,73302
13508,16613
13519,23327
13520,27644
13524,63552
13528,62208
13554,79222
13555,62203
13556,67333
13557,76911
13570,43174
13581,37079
13584,4152
13586,78121
13587,24084
13608,8050
13615,25201
13631,48767
13637,68599
13647,29853
13657,76394
13659,91250
13689,58810
13694,161684
13714,31752
13717,4517
13723,56480
13732,89422
13740,72559
13754,83033
13770,43795
13835,128790
13844,94751
13862,42457
13890,74519
13922,52588
13925,76673
13931,97682
13935,35222
13944,48503
13963,93304
13982,83573
13983,13838
13986,79788
13988,86920
14001,92304
14017,7509
14026,24399
14028,25406
14030,10914
14050,92262
14055,170208
14056,21597
14058,88499
14066,4643
14077,34132
14095,44944
14096,17034
14109,60938
14119,94043
14135,33594
14147,16554
14149,18039
14172,11418
14178,86856
14180,2692
14231,65409
14260,68128
14266,12731
14269,92533
14285,31185
14286,47550
14292,64630
14295,54560
14301,19579
14308,49399
14310,86151
14354,1069
14355,18019
14363,74509
14382,48413
14388,78855
14420,96668
14435,27929
14450,15342
14453,19088
14454,66654
14462,16449
14468,35808
14471,38897
14485,62443
14487,98425
14534,89206
14546,29618
14553,22767
14557,39569
14576,87592
14578,89847
14582,48518
14588,86763
14598,71878
14602,40196
14605,68
14608,99817
14614,79688
14650,47858
14669,7522
14682,26203
14683,39404
14707,99860
14714,1692
14770,89138
14781,96355
14790,75593
14800,69741
14845,95156
14856,63707
14873,41982
14890,40827
14897,23880
14902,28802
14918,41478
14920,58470
14930,92632
14932,96868
14957,14957
14960,93985
14975,88955
14980,90427
14983,24093
14996,82648
15006,24682
15012,43211
15055,59312
15104,60870
15105,88453
15109,23541
15112,79069
15123,69509
15132,58397
15139,20085
15146,75226
15152,68297
15180,50070
15184,89731
15187,83911
15194,70127
15207,77491
15218,40035
15224,94043
15233,17372
15287,62775
15300,15099
15326,71860
15346,93177
15355,76739
15358,23408
15359,74912
15361,94175
15412,26687
15426,97423
15435,77695
15436,28227
15450,9388
15451,29713
15457,5164
15461,61875
15465,14209
15468,92620
15469,67087
15474,15071
15486,66106
15501,35297
15503,49247
15509,80882
15513,51684
15526,95297
15532,99518
15533,41472
15537,24021
15549,47631
15551,5004
15553,48929
15555,69910
15581,94183
15583,5659
15594,22663
15597,25561
15603,75315
15604,9353
15609,58606
15614,98728
15620,65185
15643,35479
15650,20395
15660,87586
15664,34110
15685,31169
15705,10173
15708,31373
15734,33961
15740,47573
15753,87648
15758,62939
15779,17901
15787,27998
15791,2302
15797,124389
15814,72275
15816,72985
15818,27857
15828,43120
15835,30452
15842,30601
15848,82136
15856,14007
15858,37163
15866,33408
15871,59194
15875,67338
15877,72337
15882,65969
15887,33564
15890,26708
15902,70058
15923,67995
15931,22067
15956,43083
15965,22224
15971,92202
15987,82949
16012,25474
16031,6835
16041,37924
16047,62271
16069,43220
16081,28686
16088,85787
16089,34765
16125,93421
16130,76674
16137,44661
16142,47790
16147,59377
16149,76189
16156,45685
16228,56778
16232,60300
16250,68844
16252,83101
16256,51683
16258,17060
16263,31058
16280,74425
16283,93316
16312,68111
16322,6377
16326,57760
16327,17329
16333,95633
16337,49324
16347,96978
16361,88473
16378,21684
16381,68117
16426,36825
16432,47950
16433,22841
16439,33181
16441,46082
16462,30055
16468,98189
16469,50040
16477,23375
16484,79131
16485,26601
16491,18409
16496,44717
16497,38638
16504,71414
16505,79724
16521,1935
16541,60845
16563,84077
16568,29655
16570,12844
16575,37459
16602,47128
16603,26196
16609,25300
16616,79254
16634,84125
16660,28067
16668,41193
16676,30376
16695,83007
16701,88759
16703,39104
16712,132495
16745,6671
16749,119924
16776,83909
16788,36677
16802,47443
16807,37750
16816,59346
16823,18029
16845,35409
16860,87360
16873,29281
16876,51288
16884,94247
16903,7132
16906,27366
16928,37394
16938,3495
16942,53544
16949,59616
16951,20907
16962,73196
16966,14752
16975,46761
16991,6293
16995,70472
16999,53659
17005,68538
17012,59796
17025,28847
17026,73498
17029,83675
17043,72725
17056,22286
17064,36938
17067,26224
17069,50922
17070,79589
17075,31988
17083,69303
17087,35624
17089,46770
17093,94821
17101,93137
17108,32056
17114,47533
17115,76438
17133,54495
17153,35430
17166,81342
17175,91910
17178,110894
17191,40332
17196,46788
17202,89592
17212,65116
17218,8595
17234,97591
17239,14905
17244,6448
17255,40743
17262,8267
17293,89291
17302,55490
17306,66343
17345,61029
17349,8748
17378,40602
17386,51620
17391,10306
17396,97246
17406,53729
17427,79079
17432,31047
17434,74134
17446,85380
17462,40163
17464,19846
17468,93054
17469,43010
17471,12214
17481,18099
17485,63784
17486,56128
17497,84986
17509,43863
17510,21673
17513,20460
17529,10617
17562,30240
17579,7949
17596,79575
17601,84711
17615,72618
17617,7674
17620,17183
17628,18549
17632,29108
17635,57668
17637,61914
17643,16335
17661,43392
17678,52357
17683,6751
17687,84408
17691,49711
17746,29360
17752,86203
17757,89211
17781,95424
17792,81577
17802,70283
17826,62489
17839,93740
17840,24098
17842,32059
17850,12041
17873,94893
17880,20776
17897,84130
17939,61219
17941,44608
17944,64043
17946,52137
17952,66541
17957,16463
17961,75754
17969,82361
17976,75065
17982,72174
18001,50037
18028,62484
18051,22571
18056,47108
18074,51421
18084,34570
18100,52107
18110,119327
18114,52630
18117,2632
18119,98531
18123,68702
18131,49469
18152,96379
18165,54047
18166,22150
18169,1524
18180,90878
18188,38290
18203,773
18208,84971
18219,25298
18220,46006
18225,94562
18234,58020
18238,90754
18249,16700
18258,86292
18263,22402
18275,16696
18283,55421
18290,30327
18295,49370
18367,122121
18375,52890
18376,28766
18377,36069
18381,56389
18400,96589
18409,8201
18411,86448
18446,65204
18455,17028
18458,5704
18459,41869
18469,24702
18471,34019
18472,28793
18475,13653
18483,52559
18506,86265
18533,85518
18554,19222
18558,99497
18591,87414
18629,27851
18642,67554
18654,88440
18663,64667
18666,93176
18673,148819
18674,94596
18688,77474
18691,96136
18720,14796
18722,42581
18744,13165
18762,55879
18768,65628
18778,48428
18783,70032
18784,64548
18813,97961
18816,89989
18817,11620
18822,54424
18847,71598
18856,19209
18864,55186
18875,94909
18881,75637
18895,16939
18923,38522
18927,54016
18929,74431
18936,56469
18966,18980
18969,23344
19044,46266
19047,10660
19053,32559
19061,61554
19074,65688
19081,52959
19100,24781
19105,75326
19113,32024
19118,54323
19121,150608
19127,62523
19128,17363
19135,12689
19139,79356
19161,52673
19162,66965
19166,33489
19180,43109
19186,809
19192,16960
19200,43796
19208,10390
19235,3074
19237,35160
19240,84531
19245,98727
19249,83180
19261,14429
19264,28922
19273,70275
19278,37136
19297,63408
19330,74083
19337,30611
19341,66127
19355,20983
19360,97792
19378,65465
19426,46072
19427,91376
19430,8122
19470,55946
19482,48126
19486,32718
19488,61438
19492,80020
19494,99862
19497,72905
19537,9522
19556,63682
19564,66991
19575,70492
19579,45834
19595,71009
19602,3257
19615,64136
19622,9010
19634,15553
19636,33131
19640,55501
19658,62449
19669,82349
19671,82353
19683,114864
19715,29928
19716,79508
19720,7511
19733,6572
19735,80048
19736,20735
19745,35385
19752,91965
19759,46616
19793,48688
19802,54212
19804,82691
19806,16725
19813,23723
19822,99941
19826,54722
19828,54593
19833,82817
19856,47294
19895,83217
19910,78613
19914,6347
19927,21845
19929,15874
19934,64703
19948,65650
19952,45925
19953,27007
19966,21146
19974,23179
19975,40077
19985,124891
19992,73738
19994,64800
19998,69372
19999,65407
20005,14472
20014,15039
20025,25574
20027,36958
20031,50385
20042,10182
20044,64444
20054,35252
20056,13420
20057,82603
20061,23597
20069,57645
20075,91952
20093,84977
20094,4081
20096,30649
20097,24752
20134,17478
20138,8315
20147,52776
20183,18402
20187,82260
20188,22540
20189,28807
20191,29653
20195,27988
20210,30139
20222,79151
20228,66106
20231,75258
20259,33584
20284,36131
20296,12966
20308,2253
20317,34001
20345,73503
20347,57388
20350,68854
20368,86193
20377,40713
20388,123530
20427,78187
20431,93517
20434,19799
20460,99329
20479,17132
20481,91105
20488,40281
20500,79078
20505,16340
20526,82090
20534,94500
20547,37089
20566,33490
20574,184852
20581,83395
20586,86577
20588,42379
20619,32850
20620,88850
20626,21616
20633,58714
20651,85365
20660,87963
20661,77469
20677,15867
20685,99972
20715,94321
20734,19788
20742,41459
20762,83368
20783,24816
20785,63269
20790,182104
20793,16799
20853,52387
20866,101836
20867,85357
20880,73219
20883,17465
20886,37831
20891,27662
20895,50071
20904,19218
20920,39121
20928,29917
20933,34837
20959,29794
20960,50276
20961,17932
20976,5257
20978,67938
20982,37750
20989,46465
20994,65548
20996,54160
21001,17689
21012,87312
21026,176452
21034,35341
21040,61207
21049,27274
21057,66210
21066,91861
21075,31037
21086,41264
21100,31190
21105,14404
21109,84358
21118,68128
21130,38710
21146,3182
21152,48280
21155,93809
21182,32619
21186,89851
21197,37459
21221,47157
21227,5714
21245,85088
21261,39608
21304,73933
21346,13048
21365,31219
21376,23758
21386,1289
21396,47579
21407,38745
21457,26370
21469,77196
21481,6687
21491,78019
21492,94317
21500,36547
21503,42593
21504,97269
21505,64992
21529,95310
21551,18867
21561,41063
21588,78563
21598,20708
21608,130
21621,23259
21626,14211
21633,77200
21636,28072
21650,38270
21658,67722
21672,63932
21675,49411
21677,18635
21684,52653
21685,75379
21700,88079
21702,90332
21713,10770
21735,65831
21743,58728
21746,92235
21756,77159
21775,85065
21785,189681
21796,65811
21807,90960
21820,53051
21824,140925
21839,59325
21841,116899
21850,69935
21865,85924
21878,64202
21881,78703
21906,99943
21935,99006
21936,72276
21966,92233
21970,52904
21981,90321
21982,74344
21998,77668
22003,49374
22011,44489
22032,10053
22046,21074
22054,79679
22056,64295
22060,3280
22079,26354
22108,72415
22109,25546
22113,11763
22128,84468
22130,21249
22141,18775
22148,4372
22151,38546
22155,9261
22157,31004
22182,85153
22192,55776
22203,20774
22206,71864
22213,11058
22225,52305
22246,68454
22256,895
22259,84895
22264,29427
22272,5738
22273,35127
22283,43168
22290,79737
22296,98652
22297,17754
22304,41417
22308,27290
22312,60435
22331,93137
22345,99677
22349,74030
22350,55343
22357,76416
22364,97033
22376,64498
22385,27315
22390,7322
22395,142324
22396,59759
22405,26530
22406,9746
22430,38715
22431,143062
22432,89360
22453,15814
22465,3498
22470,52364
22492,2319
22500,79194
22509,324
22520,46929
22523,38737
22525,29609
22526,53404
22538,92183
22542,42538
22573,80454
22578,26727
22584,1907
22597,63596
22602,24470
22629,20319
22638,58154
22641,25638
22643,23393
22645,26968
22661,1768
22662,42392
22680,1258
22681,73072
22685,71724
22707,86766
22708,92532
22742,57991
22750,21624
22757,73539
22761,33110
22777,59712
22781,36618
22786,3074
22806,80085
22817,57240
22837,96510
22840,61666
22841,97983
22844,84027
22849,72241
22893,36073
22901,89922
22905,88678
22916,51676
22952,50169
22953,4706
22969,146085
22988,21897
22997,92789
23003,39499
23009,94728
23010,43523
23078,33468
23079,29146
23088,92933
23131,71574
23134,80741
23139,6098
23145,87190
23149,7333
23157,85922
23158,91112
23159,70567
23171,4757
23174,3266
23192,7464
23196,76157
23208,7705
23212,76082
23216,69512
23233,36290
23234,55060
23237,60348
23264,23651
23286,24232
23288,105835
23292,78873
23297,89271
23301,69545
23308,2286
23333,43799
23337,62891
23343,2485
23345,71617
23349,2397
23354,84848
23359,18860
23414,90504
23416,25082
23421,53711
23424,52099
23430,22730
23449,89645
23454,62169
23459,31033
23475,92508
23488,9962
23504,6816
23505,66462
23506,14977
23515,96905
23521,30172
23522,76317
23525,93617
23527,43445
23529,74048
23531,50592
23535,82125
23537,16471
23540,61355
23561,51847
23570,4286
23571,88901
23581,122779
23588,62659
23601,87225
23602,69258
23609,2919
23630,27728
23641,78032
23657,79757
23666,81843
23688,44475
23712,37123
23716,91182
23735,44465
23746,30783
23753,25447
23756,8762
23758,79047
23760,64337
23769,40936
23775,89429
23797,51551
23800,16505
23813,13347
23827,84999
23839,63824
23842,25457
23851,2966
23892,43711
23909,99149
23910,44574
23913,88309
23948,51749
23950,58987
23954,76012
23962,22388
23963,38542
23964,40865
23967,68368
23970,78033
23987,11399
23994,68915
24007,27616
24008,32085
24022,75047
24041,8502
24049,63939
24050,16655
24056,94697
24063,57249
24085,35213
24087,60924
24101,77705
24111,97511
24114,23290
24119,21104
24129,99217
24131,69970
24134,45585
24147,15594
24149,82044
24167,98769
24168,6840
24179,10050
24197,83879
24203,17280
24205,50430
24231,17546
24234,7412
24240,13816
24249,41741
24255,43524
24258,7783
24264,1718
24277,5119
24294,77992
24306,81404
24320,40177
24336,77059
24337,12634
24342,28035
24346,6305
24369,87671
24377,22371
24388,12446
24393,8748
24396,67444
24413,48293
24414,35006
24419,77052
24426,10029
24428,78026
24467,88734
24482,43633
24487,48122
24502,98287
24513,90557
24514,17328
24521,81701
24535,72191
24538,82582
24548,91380
