A_A,C_B
4929,99804
4933,84903
4946,99985
4948,31104
4968,81328
4982,95860
4989,2361
5020,75237
5022,36425
5028,47921
5031,75072
5036,56131
5045,35364
5061,17950
5066,5234
5082,62578
5087,74425
5091,90525
5097,10819
5148,66754
5164,30282
5179,26635
5185,21519
5197,19009
5205,50165
5207,68325
5211,46831
5218,10967
5245,57509
5267,35968
5304,30177
5320,10553
5322,43988
5344,80847
5349,39491
5350,509
5375,60929
5380,85376
5393,87466
5401,43977
5415,38362
5418,34464
5423,57184
5433,52713
5440,33126
5452,67966
5466,34662
5481,76910
5517,65431
5527,40806
5547,33642
5561,82547
5566,24722
5574,83465
5591,97163
5599,93045
5601,82713
5616,65017
5628,59595
5631,74852
5660,15074
5677,6205
5696,19718
5705,50535
5711,36776
5712,26280
5736,28438
5740,27410
5748,19711
5749,91413
5784,89488
5792,31482
5798,45749
5812,92147
5820,44808
5827,53552
5838,69540
5843,47575
5846,19400
5850,50715
5862,52013
5874,59418
5885,26155
5887,41092
5902,24733
5918,94899
5921,27977
5928,89122
5930,83466
5940,90255
5953,41060
6002,97333
6013,74888
6019,71766
6020,97706
6027,92376
6042,9145
6053,67788
6060,79156
6065,54007
6067,36503
6068,27680
6075,235
6093,68729
6106,95088
6116,34181
6131,11334
6141,21416
6150,73526
6163,71047
6166,90799
6173,86735
6187,31923
6188,36998
6201,4980
6209,97303
6229,99459
6254,8042
6277,93921
6278,63096
6283,9365
6288,45760
6291,53406
6336,43880
6355,55503
6357,58593
6364,98968
6365,91630
6380,76158
6381,4324
6382,52234
6384,74915
6391,73779
6407,77667
6410,99333
6413,82538
6425,61958
6430,10273
6463,97299
6472,5668
6530,78683
6560,34278
6583,70271
6586,56363
6590,32482
6591,2469
6594,97828
6595,71383
6597,66118
6608,46923
6628,73596
6630,47869
6632,64875
6645,94032
6653,35986
6664,94508
6667,20181
6672,8107
6674,81782
6678,64160
6679,1931
6714,79513
6752,13048
6768,47538
6773,37172
6782,89762
6786,87082
6792,20634
6817,71802
6834,46366
6836,94895
6849,60268
6855,44321
6875,21825
6883,57102
6897,38393
6899,18074
6908,14358
6910,68147
6935,24282
6937,10281
6962,96042
6963,34344
6966,508
6971,76999
6985,85458
7005,91320
7010,65181
7013,85899
7018,94973
7029,29779
7036,69280
7044,91830
7046,16356
7047,84252
7065,14428
7075,12877
7084,19660
7085,37150
7090,57013
7115,87398
7134,22546
7135,98776
7145,83374
7157,43450
7160,16412
7162,15312
7183,80675
7184,6610
7199,4115
7209,45257
7216,39702
7237,85886
7238,55955
7240,95561
7259,13985
7264,26524
7272,82903
7288,52580
7294,96630
7310,60332
7317,50488
7319,33310
7320,48026
7324,74955
7329,50033
7354,61586
7363,9102
7373,45966
7392,98249
7395,86765
7407,79959
7409,34607
7414,50456
7417,88231
7424,8960
7429,50899
7434,36011
7469,31998
7485,38649
7488,23109
7490,29796
7492,90120
7503,16963
7504,92363
7505,38602
7530,29959
7534,4348
7538,13974
7546,10826
7564,86039
7565,65653
7568,59492
7572,99715
7601,77157
7635,83192
7641,24306
7643,75354
7661,87605
7698,36196
7709,57847
7724,61357
7741,34666
7745,80706
7747,11003
7757,77327
7768,3583
7780,39978
7787,1100
7788,73638
7790,16375
7819,74050
7820,53130
7822,26291
7832,89622
7839,77733
7843,5122
7860,50393
7864,99008
7878,25770
7885,99917
7890,22700
7900,19830
7903,85950
7915,67322
7922,77600
7930,69955
7937,18031
7946,74671
7956,45986
7970,89751
7976,61332
8009,40818
8013,22055
8027,22953
8054,98914
8094,51399
8098,76324
8104,15896
8111,12806
8117,90473
8133,95093
8154,56966
8159,15800
8161,72784
8167,24772
8178,48810
8180,49329
8184,40518
8186,87990
8197,17448
8208,5012
8214,99422
8226,42874
8274,61840
8279,64856
8290,1974
8319,34742
8328,44786
8340,53970
8342,8739
8349,48416
8373,39865
8375,70937
8376,95989
8382,72266
8396,15334
8400,11880
8432,55724
8444,1375
8448,57143
8449,71909
8459,72197
8462,74805
8467,32445
8483,2613
8484,71999
8496,54299
8500,6055
8502,49361
8542,2379
8551,16991
8562,85661
8585,1102
8586,75918
8611,39596
8626,41051
8643,63377
8646,28384
8660,32548
8680,53558
8704,32814
8707,9448
8735,32140
8736,67089
8738,2149
8746,65928
8756,1200
8757,10071
8761,55428
8773,31022
8791,94125
8807,66034
8821,27069
8831,27097
8840,56917
8858,71026
8887,14678
8904,32223
8912,12766
8915,32821
8918,51321
8924,77084
8939,83369
8946,4169
8952,36738
8967,87420
8968,53666
8980,74740
8981,27667
8982,60874
8988,83639
8999,4941
9003,24002
9043,86253
9064,23520
9081,62825
9091,95224
9095,94909
9114,45527
9116,13267
9119,65525
9122,79489
9147,59011
9151,86501
9152,4939
9164,79137
9172,92099
9173,50756
9177,86190
9178,84183
9192,27182
9212,22843
9246,87679
9251,69589
9257,83286
9287,30857
9314,32045
9322,73211
9335,62846
9341,41899
9350,12811
9367,70443
9370,69602
9375,16782
9385,97641
9393,53145
9394,15720
9413,76555
9433,96401
9443,29701
9447,16769
9453,79990
9457,68866
9522,51385
9526,1306
9527,22491
9545,91664
9559,31424
9563,11508
9564,51888
9597,80611
9603,32332
9609,85795
9615,72136
9619,69249
9635,36215
9655,30264
9675,77581
9686,77634
9693,3909
9695,85472
9704,20424
9720,23152
9727,97306
9732,74154
9755,59782
9796,86628
9803,52761
9804,91938
9818,91213
9821,95823
9827,87678
9847,79913
9854,64268
9861,71160
9866,35947
9870,42633
9882,33057
9901,58279
9916,27834
9939,10332
9941,96440
9960,71887
9963,54524
9970,28195
9984,47051
9991,37811
9993,4980
10004,74010
10015,49438
10024,72632
10060,78356
10073,16374
10075,65036
10080,59154
10088,34061
10102,99809
10105,5161
10108,64827
10111,77814
10115,12986
10118,10077
10121,1927
10127,76681
10129,25049
10140,79058
10157,28152
10183,32663
10193,59810
10203,28879
10222,50107
10248,70795
10251,76678
10254,20092
10262,83651
10271,10043
10283,46392
10294,4929
10315,55388
10321,28344
10323,97157
10330,89369
10331,40778
10340,29205
10356,27787
10360,74480
10377,77611
10392,82095
10417,2186
10421,65319
10425,81303
10432,16666
10441,37039
10445,70360
10480,93581
10488,2494
10501,12471
10502,10291
10509,52821
10518,90916
10519,21903
10533,80197
10540,39317
10544,96561
10545,69573
10583,49953
10590,46559
10591,71610
10597,51290
10612,9247
10616,13896
10622,45378
10644,63012
10651,1862
10683,22710
10685,93861
10688,26406
10720,34218
10728,26035
10735,65493
10741,66035
10760,73362
10764,6941
10774,90944
10781,30809
10792,26197
10816,83290
10819,36524
10839,39908
10841,46412
10851,87051
10859,97206
10860,18259
10870,14618
10876,65203
10884,26685
10890,78315
10893,8916
10898,18162
10904,14838
10925,55524
10933,17847
10934,7022
10936,93638
10939,73229
10943,94351
10948,71197
10964,64937
10965,35706
10970,42012
10988,51314
10989,1153
10994,84721
11002,54244
11014,22324
11033,52016
11055,96194
11070,89825
11110,22613
11114,11141
11117,99049
11125,7985
11142,9653
11157,81648
11162,39991
11165,5751
11168,73506
11175,54762
11187,2886
11195,5423
11204,63378
11223,66901
11230,52999
11248,43372
11252,8954
11262,46
11263,11828
11279,9600
11282,86184
11290,68825
11300,89050
11304,34987
11313,36545
11355,1514
11361,1728
11388,72731
11389,60133
11400,81701
11402,68509
11412,28216
11432,65333
11444,12877
11452,33517
11462,42877
11476,35710
11479,564
11485,71781
11515,83450
11530,13364
11558,14048
11595,6201
11606,86323
11609,40514
11619,5540
11642,95155
11647,87989
11652,83015
11664,55660
11697,14847
11705,28617
11708,93832
11712,24237
11725,24225
11729,16270
11776,55027
11784,4092
11796,60733
11800,19215
11817,96316
11827,95974
11849,58871
11867,25564
11874,90077
11887,91634
11888,5900
11894,58905
11901,40041
11903,83408
11921,65718
11925,52658
11937,83051
11950,49005
11969,42687
11977,42991
12001,95640
12006,87548
12009,15801
12010,23297
12017,47282
12029,15040
12041,60915
12042,24877
12079,72959
12085,10489
12102,51800
12115,90187
12118,69016
12128,86510
12138,27473
12147,44671
12156,73525
12170,85176
12178,20349
12190,97361
12201,22748
12211,95792
12221,71014
12232,79036
12235,71595
12243,46526
12293,14291
12295,88679
12327,34246
12329,7530
12338,31392
12371,45516
12375,95773
12387,94127
12412,55102
12421,66424
12426,65602
12428,14625
12434,55452
12447,38308
12453,25773
12465,12425
12478,51356
12484,18023
12527,44520
12537,8601
12538,18293
12555,99133
12556,52560
12559,33664
12584,10968
12588,36893
12599,59877
12604,53153
12637,22025
12643,80710
12644,37929
12669,79295
12670,24568
12692,91178
12699,67093
12700,71087
12705,26829
12723,5032
12728,32295
12730,36290
12737,68089
12795,37971
12796,10903
12797,73809
12800,27202
12809,11779
12870,73797
12873,53901
12876,60261
12880,92956
12884,89655
12888,60137
12896,59886
12926,83539
12940,82728
12961,41123
12971,44785
12989,14891
13006,18468
13029,17002
13034,91992
13053,123
13054,68394
13062,19835
13067,89714
13113,25576
13115,25603
13116,90736
13134,15490
13177,19068
13192,7834
13199,16731
13204,55184
13208,46951
13218,92578
13219,30689
13236,78508
13273,17429
13279,29015
13280,34431
13298,61967
13301,60219
13342,57501
13366,9249
13370,9547
13373,81057
13381,82573
13390,62269
13393,83749
13399,88676
13402,69034
13410,53612
13426,29618
13454,80052
13459,26114
13519,81484
13525,13319
13528,20204
13551,21520
13554,83203
13560,62232
13561,10783
13583,37903
13592,78639
13616,63095
13619,84572
13631,6763
13643,4785
13655,82673
13659,36860
13663,92799
13669,34089
13703,84745
13708,71110
13714,1481
13717,96828
13729,37311
13766,77407
13775,74347
13783,43978
13827,37850
13830,56390
13835,31326
13846,98396
13855,16102
13872,74612
13875,60457
13893,64492
13897,63408
13898,14707
13902,55665
13905,14237
13951,50372
13977,8876
14015,82348
14033,92156
14037,57153
14051,45819
14057,24642
14062,70363
14063,10564
14064,75134
14070,72358
14072,41538
14073,46219
14084,69621
14093,45237
14095,51400
14136,3020
14141,28358
14152,50740
14157,22416
14162,86766
14165,67884
14167,85241
14182,89489
14183,30331
14193,98778
14197,25865
14211,82332
14217,70992
14254,66072
14264,29022
14293,85101
14296,39596
14306,12890
14307,91080
14315,17821
14336,98315
14347,40301
14350,69806
14369,37694
14384,36551
14411,82484
14412,36036
14429,42161
14458,67169
14487,45984
14489,5948
14492,22989
14495,28485
14512,23100
14528,81656
14536,33250
14553,26142
14567,60600
14568,77213
14588,41705
14593,17919
14599,95095
14600,70230
14602,36743
14606,82395
14621,24741
14640,33105
14646,57532
14658,4513
14663,92761
14668,97711
14674,22914
14688,96738
14691,55912
14699,69869
14706,22641
14741,1861
14742,19437
14762,81267
14766,15545
14783,7263
14788,68826
14791,3493
14792,99440
14797,93777
14817,33286
14823,38343
14825,33673
14839,53813
14852,76311
14864,93970
14866,61610
14868,48603
14892,63784
14898,44201
14903,77210
14917,76697
14925,3255
14926,35869
14933,30425
14935,75192
14937,5895
14938,13379
14939,71247
14975,13481
14995,91474
15000,40078
15002,47280
15009,38160
15012,92694
15023,17527
15027,53711
15034,97329
15036,76052
15044,89239
15045,48570
15047,93875
15050,63901
15055,16102
15077,3421
15089,83246
15114,34403
15116,84173
15120,63014
15131,23231
15133,90584
15144,37654
15148,27318
15152,44079
15163,69049
15171,6922
15174,96241
15190,89434
15203,96891
15216,7239
15240,63347
15249,65005
15251,57089
15253,60841
15268,11226
15282,89741
15294,80312
15324,12391
15328,12324
15336,63701
15344,39999
15352,36178
15378,95817
15379,18156
15402,82103
15403,42238
15409,36593
15423,19037
15433,23265
15461,42366
15480,27681
15487,21120
15494,39041
15514,31344
15517,57601
15525,97201
15527,84506
15577,48386
15580,30656
15585,85610
15594,6177
15602,12218
15606,29025
15630,21274
15645,19052
15659,19904
15661,8038
15665,79906
15668,33281
15674,91067
15675,91600
15699,26145
15708,16790
15729,32385
15730,25314
15732,84448
15733,30454
15736,90475
15748,4894
15770,28797
15790,40710
15791,86595
15800,70463
15836,45788
15838,50358
15844,81157
15847,93676
15848,26171
15862,21638
15866,58997
15869,81766
15873,7416
15891,22990
15914,33566
15931,19613
15942,91498
15947,24585
15956,94727
15989,57959
15991,51922
15992,5728
15996,15046
16000,19053
16003,13775
16011,71714
16014,83847
16032,10124
16059,90722
16060,20581
16061,70703
16079,99404
16082,71591
16097,69809
16105,74261
16108,92912
16113,98731
16126,53470
16139,76587
16172,72438
16178,36357
16181,93935
16203,54985
16205,77214
16231,18423
16236,63329
16239,21064
16247,44787
16259,95466
16260,89426
16262,31283
16279,60656
16280,61801
16290,9361
16298,82150
16304,99522
16326,76353
16331,87331
16342,69825
16351,90428
16355,96514
16375,62961
16407,32919
16410,98567
16420,54147
16422,74772
16433,84355
16442,14744
16449,29479
16462,63987
16468,36912
16477,97336
16479,87824
16490,60372
16540,27076
16546,88656
16554,84347
16557,89392
16559,73517
16567,9161
16578,795
16601,20367
16611,33343
16626,72014
16630,6655
16644,79810
16645,84520
16650,86996
16658,55899
16692,56667
16717,8416
16748,94493
16749,37032
16752,63348
16753,30136
16769,76974
16772,38700
16779,92932
16786,71805
16792,18578
16796,81035
16808,67223
16809,62381
16811,80948
16825,45966
16830,90353
16832,39307
16851,85976
16856,17253
16865,81700
16866,69098
16898,46578
16904,88076
16928,11455
16936,75053
16943,38786
16964,68754
16973,43418
16998,94670
17016,6800
17025,12769
17028,62389
17030,9314
17035,75865
17038,45126
17039,3929
17041,43006
17050,13730
17058,2732
17065,20638
17078,84601
17096,59727
17106,24516
17110,92942
17113,52303
17115,65584
17127,96972
17131,4460
17132,32636
17138,2166
17151,97762
17159,2071
17201,77527
17203,14621
17227,95852
17233,18206
17234,17854
17237,32243
17239,56924
17240,40183
17249,41869
17267,96194
17281,3881
17307,84825
17311,23198
17344,60858
17350,27197
17366,54929
17413,89800
17414,63160
17426,91450
17434,55105
17480,70546
17497,42392
17518,64649
17529,27362
17530,18340
17545,95218
17550,35787
17553,76193
17556,79011
17560,79215
17563,85125
17565,35469
17567,67084
17572,41083
17573,59019
17594,5535
17615,28018
17618,47112
17623,24540
17632,22250
17645,78220
17660,23882
17700,45846
17703,93832
17713,67783
17751,23095
17767,15016
17776,73711
17781,96521
17799,51430
17800,42693
17809,63011
17831,76546
17834,54832
17857,1713
17862,69899
17878,99668
17881,3918
17892,39622
17911,96967
17917,66245
17918,58539
17920,86461
17930,98562
17933,44732
17937,46944
17938,2592
17943,58129
17976,7608
17983,73712
17987,80656
18017,34093
18030,33830
18038,8863
18046,70179
18054,15504
18056,14375
18094,47990
18110,99891
18135,43761
18137,26067
18142,78677
18147,87806
18178,36823
18183,44490
18185,3655
18193,8018
18221,21540
18228,26627
18249,38331
18266,29558
18271,10129
18327,57052
18328,28650
18343,43674
18348,69263
18352,30096
18358,73061
18365,14756
18371,67992
18386,43468
18438,89273
18442,75604
18446,961
18454,16596
18471,10615
18473,36328
18474,99549
18517,34801
18518,5766
18524,96687
18533,16394
18535,17254
18548,78108
18558,11850
18561,36112
18563,63070
18565,48526
18577,15972
18602,68566
18606,59102
18608,57808
18638,83132
18639,95558
18649,35017
18663,41124
18681,6988
18684,25194
18688,80088
18695,36960
18712,8347
18741,13585
18759,9916
18765,35239
18772,35047
18781,43381
18786,60480
18788,33111
18797,84345
18801,56873
18837,60041
18873,95186
18885,85354
18895,44475
18896,43269
18904,61421
18907,14655
18909,53124
18910,83811
18925,83969
18927,10755
18929,24368
18970,8037
18987,31787
18990,89726
18992,37230
18997,70588
19003,21879
19023,58100
19027,90998
19038,24592
19041,27458
19054,96340
19056,71175
19061,13916
19064,43079
19099,22417
19101,68878
19107,31258
19121,54990
19127,51197
19133,41546
19157,75675
19174,6181
19185,49760
19186,9042
19210,93836
19223,61252
19230,14230
19231,79116
19235,41023
19237,51660
19239,95173
19259,68346
19274,72129
19277,12278
19283,44378
19289,97413
19290,9416
19292,47991
19302,97732
19303,75939
19307,662
19311,13681
19314,62718
19334,62251
19342,95013
19344,35142
19348,56157
19360,40727
19363,37975
19375,76774
19377,3031
19390,82709
19398,17989
19399,92802
19408,32796
19439,29467
19451,65053
19455,64396
19482,24002
19504,34878
19508,29146
19512,94009
19521,24979
19529,53
19533,20046
19573,19318
19579,72436
19590,84874
19597,86215
19611,3715
19670,63113
19680,51387
19711,94081
19741,77764
19755,66135
19758,25786
19761,87427
19763,69942
19773,31211
19799,2220
19809,13932
19821,76247
19842,6211
19853,25997
19859,82367
19863,80995
19878,13856
19880,81092
19884,5141
19966,35843
19974,37601
19983,39385
19985,96542
19998,97190
20009,29890
20013,80503
20019,7110
20024,58409
20025,2395
20084,6801
20085,55823
20088,91693
20091,93365
20114,86462
20119,281
20124,4660
20141,72400
20149,81947
20151,65054
20155,98246
20179,6273
20219,39255
20308,15142
20311,23076
20316,32513
20317,49499
20344,76146
20347,90189
20365,95529
20373,49038
20396,25458
20403,39047
20405,80432
20424,5280
20429,44267
20436,95925
20446,89276
20458,31462
20459,85243
20466,15567
20473,10429
20478,7334
20481,85951
20491,6414
20493,56462
20499,6774
20507,77314
20510,22893
20516,25148
20527,58693
20531,80191
20541,26596
20544,69668
20548,6325
20557,6475
20565,28845
20591,42733
20595,85607
20612,50708
20616,78643
20617,74471
20620,64517
20626,78939
20633,96021
20645,93432
20674,26005
20677,17518
20685,71736
20689,89848
20697,37118
20707,30918
20713,50031
20717,92594
20720,78198
20736,10191
20754,15389
20755,5549
20760,89581
20761,21811
20775,4777
20780,17769
20809,70357
20819,57302
20823,36859
20828,46245
20838,14944
20842,40092
20846,30186
20848,53650
20855,76710
20859,66634
20866,87699
20879,71353
20894,18220
20906,7531
20909,62492
20926,91369
20937,19352
20946,23926
20948,24577
20954,52250
20955,20585
20958,62579
20959,3332
20968,38029
20974,32337
20976,79591
20979,56910
20986,59265
20987,95029
21013,69019
21019,98366
21024,24151
21054,44544
21062,42694
21063,52496
21067,99577
21073,43789
21091,5330
21113,63519
21133,29266
21145,6321
21174,22028
21176,32019
21181,51318
21196,84640
21203,83308
21211,16514
21220,24514
21221,82983
21227,76121
21229,10823
21235,6104
21254,18722
21278,27125
21293,88898
21302,56894
21313,96232
21353,79783
21361,88050
21365,30353
21374,66797
21375,7409
21383,38159
21387,31755
21389,17191
21390,23546
21408,68448
21417,68263
21423,82362
21424,271
21469,43718
21474,4701
21514,56080
21523,35301
21536,28648
21539,25997
21549,7540
21561,64739
21565,98178
21574,28712
21577,38582
21588,78739
21590,71856
21592,99876
21594,66395
21639,18414
21665,12610
21700,60657
21707,99749
21708,48977
21713,11022
21719,97597
21748,63699
21766,7568
21769,94759
21770,45010
21775,90558
21777,47964
21784,97157
21809,76746
21821,78949
21822,93049
21831,23794
21838,50101
21862,93380
21875,96356
21903,37663
21910,10043
21916,16932
21947,86599
21959,26862
21968,67596
21980,76156
21991,2427
21993,17975
22006,25092
22018,4191
22027,91491
22032,68553
22055,78773
22105,32373
22109,87455
22110,82672
22121,43716
22128,12029
22141,41292
22142,39700
22144,24414
22148,79507
22149,42881
22150,86474
22163,3092
22165,65018
22183,89221
22184,24901
22186,49458
22187,84182
22228,35194
22231,98770
22235,82619
22245,69588
22249,48040
22254,9004
22260,57796
22264,94212
22266,12748
22277,38478
22281,44689
22286,90512
22297,48450
22301,75251
22315,2814
22322,44182
22328,73397
22342,53556
22345,81872
22373,42048
22380,11625
22386,90032
22388,437
22401,4033
22404,17707
22430,32179
22442,53103
22453,83274
22466,75088
22478,63429
22485,13434
22499,66808
22503,68128
22514,2961
22524,67835
22531,80536
22559,86908
22563,48129
22600,49398
22608,58590
22621,62117
22649,48906
22679,6799
22683,76148
22689,23707
22696,64795
22704,75109
22706,41503
22713,78071
22729,36152
22752,19338
22770,84455
22778,15904
22787,49139
22806,19380
22817,99939
22821,64479
22852,76634
22855,63846
22872,71274
22880,88285
22882,93235
22883,81675
22903,68224
22905,86381
22913,85222
22915,84436
22926,95176
22936,59586
22947,6304
22963,68529
22981,15138
22986,56820
22999,5407
23002,45908
23008,17362
23022,42492
23026,5617
23029,10556
23050,8703
23051,86902
23054,82288
23065,69274
23069,87007
23077,25523
23085,96195
23107,97466
23113,54759
23130,52199
23136,9490
23137,28145
23138,28501
23139,79238
23147,22044
23148,70407
23191,13092
23200,75890
23207,38012
23213,272
23250,77797
23265,76498
23272,2334
23275,62341
23278,76018
23306,51252
23307,18318
23308,5016
23372,58223
23392,54016
23400,10094
23404,11654
23434,40842
23455,75563
23459,64716
23462,26393
23465,30958
23472,22372
23518,66837
23527,16024
23529,61518
23538,21427
23542,14545
23545,31358
23558,22600
23563,24754
23582,74067
23592,53648
23594,35884
23600,8861
23611,57170
23614,6633
23617,63225
23621,76146
23635,47074
23641,94065
23650,86952
23669,83241
23671,32596
23676,89382
23678,95170
23685,98484
23712,74230
23715,69990
23720,64848
23734,34422
23738,28912
23752,11813
23754,5508
23766,61867
23772,32677
23774,24492
23775,84430
23777,4335
23788,26365
23789,12428
23792,13470
23797,7170
23799,34653
23813,33744
23814,706
23824,72189
23835,55611
23838,6119
23849,23540
23874,52680
23884,97490
23885,33221
23887,54165
23891,76524
23893,83041
23897,42663
23904,87849
23911,16665
23918,45481
23945,72081
23952,11227
23953,89737
23964,72680
23979,93075
23990,19745
23992,16975
23995,89570
24010,60705
24029,61106
24035,67090
24046,25779
24062,57021
24072,26262
24077,50276
24086,54192
24087,95174
24091,67944
24092,96845
24095,37174
24096,19485
24099,28518
24120,25115
24136,21594
24137,27127
24140,45278
24141,63028
24142,54263
24144,22904
24148,93069
24181,41497
24185,37451
24191,30217
24199,93318
24206,53418
24214,41496
24231,48752
24243,46987
24259,77219
24262,50238
24268,13840
24281,5779
24283,92879
24291,50351
24299,91748
24327,81263
24341,41097
24348,15571
24362,81713
24399,55519
24405,39177
24409,47719
24421,99496
24426,59484
24433,98436
24442,70378
24444,37909
24445,28785
24447,83679
24454,68897
24468,28296
24469,7039
24501,36833
24527,9880
24544,88767
24551,10024
24561,14044
24564,625
24578,88231
24586,32586
24596,87875
24597,52741
24616,99465
24619,64264
24638,16098
24666,18327
24671,23476
24682,2449
24686,66403
24690,64402
24694,14151
24703,77518
24712,32838
24719,36129
24721,78160
24740,83353
24746,91882
24767,90836
24776,53602
24780,23363
24794,46844
24823,12562
24829,41066
24838,88722
24846,5985
24866,70923
24867,41205
24885,66061
24897,80278
24906,80628
24922,35883
